Cena,Cena za m²,Czynsz (dodatkowo),Finanse,Liczba pokoi,Link,Miejsce,Oferta od,Powierzchnia,Poziom,Rodzaj zabudowy,Rynek,Umeblowane,Miasto
2 000 zł,,1 zł,,3 pokoje,https://www.olx.pl/oferta/wynajme-mieszkanie-CID3-IDEMToU.html#02fd3b93f3,"Rybnik, Śląskie",Osoby prywatnej,69 m²,1,Apartamentowiec,,Nie,rybnik
280 000 złDo negocjacji,3684.21 zł/m²,,Otwórz konto w promocji >>,4 i więcej,https://www.olx.pl/oferta/wynajme-mieszkanie-CID3-IDEMToU.html#02fd3b93f3,"Rybnik, Śląskie",Biuro / Deweloper,76 m²,1,Blok,Wtórny,Nie,rybnik
1 800 złDo negocjacji,,100 zł,,3 pokoje,https://www.olx.pl/oferta/wynajme-mieszkanie-CID3-IDEMToU.html#02fd3b93f3,"Rybnik, Śląskie",Biuro / Deweloper,100 m²,Parter,Dom wolnostojący,,Tak,rybnik
1 300 złDo negocjacji,,600 zł,,2 pokoje,https://www.olx.pl/oferta/wynajme-mieszkanie-CID3-IDEMToU.html#02fd3b93f3,"Rybnik, Śląskie",Osoby prywatnej,50 m²,1,Blok,,Tak,rybnik
2 200 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/wynajme-mieszkanie-CID3-IDEMToU.html#02fd3b93f3,"Rybnik, Śląskie",Osoby prywatnej,66 m²,4,Blok,,Tak,rybnik
187 000 złDo negocjacji,4794.87 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/wynajme-mieszkanie-CID3-IDEMToU.html#02fd3b93f3,"Rybnik, Śląskie",Osoby prywatnej,39 m²,Parter,Blok,Wtórny,Tak,rybnik
1 199 złDo negocjacji,,1 zł,,Kawalerka,https://www.olx.pl/oferta/wynajme-mieszkanie-CID3-IDEMToU.html#02fd3b93f3,"Rybnik, Śląskie",Biuro / Deweloper,45 m²,1,Blok,,Tak,rybnik
1 300 złDo negocjacji,,1 zł,,2 pokoje,https://www.olx.pl/oferta/wynajme-mieszkanie-CID3-IDEMToU.html#02fd3b93f3,"Rybnik, Śląskie",Biuro / Deweloper,70 m²,2,Kamienica,,Tak,rybnik
1 400 zł,,200 zł,,2 pokoje,https://www.olx.pl/oferta/wynajme-mieszkanie-CID3-IDEMToU.html#02fd3b93f3,"Rybnik, Śląskie",Biuro / Deweloper,61 m²,2,Apartamentowiec,,Tak,rybnik
2 200 złDo negocjacji,,200 zł,,3 pokoje,https://www.olx.pl/oferta/wynajme-mieszkanie-CID3-IDEMToU.html#02fd3b93f3,"Rybnik, Śląskie",Osoby prywatnej,62 m²,Parter,Apartamentowiec,,Tak,rybnik
