City;Location
Rybnik;[50.094339, 18.547365]
Chorzów;[50.296975, 18.957579]
Tychy;[50.121622, 19.021373]
Mys³owice;[50.245258, 19.137159]
Miko³ów;[50.178957, 18.900542]
Tarnowskie Góry;[50.461758, 18.839272]
Gliwice;[50.323145, 18.639123]
Zabrze;[50.315294, 18.799388]
Ruda Œl¹ska;[50.285857, 18.878418]
Knurów;[50.223222, 18.670890]
Œwiêtoch³owice;[50.296812, 18.914581]
Bytom;[50.356092, 18.921289]
¯ory;[50.049170, 18.695301]
Wodzis³aw Œl¹ski;[50.003506, 18.457394]
Katowice;[50.261179, 19.033448]




